id;navn;longitude;latitude
1;Bønesparken;5.301290;60.336617
2;Kråkenes miljøpark;5.315892;60.334972
3;Øvre Bergveien lekeplass;5.317622;60.334400
4;Amalie Skrams vei lekeplass;5.324110;60.409634
5;Apotekerhagen lekeplass;5.316830;60.394161
6;Arbeiderboligen lekeplass;5.327210;60.400307
7;Bernhard Meyers vei lekeplass;5.329953;60.395927
8;Birkebeinergaten lekeplass;5.323874;60.400158
9;Bøkkergaten lekeplass;5.322305;60.402195
10;Christinegården lekeplass;5.328541;60.406006
11;Corps de Garde lekeplass;5.316685;60.394714
12;Dokkebakken barnepark;5.316546;60.387714
13;Dragesmauet lekeplass;5.316106;60.389427
14;Finnemanns plass med lek;5.327328;60.399319
15;Fjæregrenden lekeplass;5.322436;60.407238
16;Flagghaugen barnepark;5.307400;60.423450
17;Fosswinckels gate, gatetun med lek;5.328192;60.386406
18;Fredens bolig lekeplass;5.326760;60.401039
19;Fredriksbergsgaten lekeplass;5.309816;60.397362
20;Galgebakken lekeplass;5.310549;60.395851
21;Georgernes verft lekeplass;5.307695;60.396271
22;Grøgårds gate, gatetun med lek;5.325341;60.401340
23;Hans Hauges gate, gatetun med lek;5.324780;60.401550
24;Jekteviksbakken lekeplass;5.316165;60.388515
25;Johanneskirken lekeplass;5.320178;60.388176
26;Kastanjeparken lekeplass;5.308553;60.397877
27;Klosterhaugen lekeplass;5.312914;60.395821
28;Konsul Børs' gate, gatetun med lek;5.321395;60.384392
29;Koren Wibergs plass med lek;5.325231;60.398270
30;Kroken lekeplass;5.323595;60.399235
31;Kvartal 7, gatetun med lek;5.330027;60.388290
32;Ladegårdsgaten, gatetun med lek;5.325757;60.402508
33;Meyermarken bydelspark;5.326046;60.404259
34;Munkebotn lekeplass;5.315090;60.417339
35;Nordnesbakken lekeplass;5.304358;60.398659
36;Nordnes lekeplass;5.305227;60.398140
37;Nordnesparken lekeområde;5.302153;60.399593
38;Ole Irgens vei lekeplass;5.352640;60.387684
39;Ole Vigs gate lekeplass;5.322710;60.385681
40;Repslagergaten, gatetun med lek;5.325778;60.401295
41;Ross-smauet lekeplass;5.315623;60.393391
42;Sandvikskirken lekeplass;5.325601;60.405636
43;Skansemyren lekeplass;5.339055;60.392906
44;Skanseparken;5.331261;60.397305
45;Skivebakken lekeplass;5.336150;60.391979
46;Skuteviksveien lekeplass;5.321489;60.401775
47;Sophus Pihls gate lekeplass;5.329568;60.402653
48;St. Hansstredet, gatetun med lek;5.314245;60.393982
49;Steinkjellerbakken lekeplass;5.327615;60.397980
50;Steinkjellergaten lekeplass;5.326945;60.398804
51;Stemmeveien lekeplass;5.364783;60.383774
52;Sudmanns vei barnepark;5.325360;60.411942
53;Sydnesparken lekeplass;5.316278;60.390636
54;Verftsbakken lekeplass;5.311219;60.395428
55;Welhavens gate, gatetun med lek;5.323308;60.384846
56;Øvre Lønborg lekeplass;5.283855;60.439121
57;Ytre Markeveien lekeplass;5.313488;60.396187
58;Zetlitz' gate, gatetun med lek;5.323144;60.384136
59;Øvregaten lekeplass;5.324265;60.399117
60;Adolph Bergs vei lekeplass;5.364718;60.361092
61;Bendixens vei parkanlegg;5.353518;60.360710
62;Birkeveien lekeplass;5.361103;60.363914
63;Bøkeveien lekeplass;5.358995;60.363117
64;Camilla Colletts gate barnepark;5.347402;60.372730
65;Elvebakken lekeplass;5.348791;60.356663
66;Henrik Mohns vei lekeplass;5.357670;60.360973
67;Hjelms vei lekeplass;5.350492;60.363670
68;Hordagaten barnepark;5.335831;60.370731
69;Hunstadsvingen lekeplass;5.346651;60.374527
70;Ibsens gate lekeplass;5.340192;60.377068
71;Jacob Aalls vei lekeplass;5.350508;60.365067
72;Jonas Lies vei lekeplass;5.350878;60.375324
73;Kanonhaugen lekeplass;5.371134;60.364944
74;Kolstien lekeplass;5.373334;60.357643
75;Landåslien lekeplass;5.373591;60.360332
76;Lien lekeplass;5.320677;60.379433
77;Lægdene lekeplass;5.370099;60.367218
78;Lægdesvingen øst lekeplass;5.370051;60.370811
79;Lægdesvingen vest lekeplass;5.367229;60.371231
80;Løvstakklien lekeplass;5.332797;60.371834
81;Nicolaysens vei lekeplass;5.352713;60.362831
82;Soleiveien lekeplass;5.364515;60.367233
83;Solhaug lekeplass;5.346544;60.365475
84;Solhaugparken;5.347928;60.365406
85;Solheimslien lekeplass;5.327843;60.375706
86;Solheimsvannet;5.347713;60.368164
87;St. Olavs vei lekeplass;5.353410;60.367744
88;St. Sunnivas vei lekeplass;5.356640;60.369762
89;Strandlien lekeplass;5.319732;60.379364
90;Søndre Skogveien lekeplass;5.333573;60.374653
91;Tveiteparken;5.355309;60.351677
92;Øvre Sollien lekeplass;5.376472;60.366505
93;Alf Bondes veg lekeplass;5.438109;60.458740
94;Arnatveitlia lekeplass;5.476518;60.402431
95;Dr. Krohns veg lekeplass;5.443479;60.455780
96;Gamlevegen lekeplass;5.447427;60.449997
97;Lone lekeplass;5.455441;60.375484
98;Londalen lekeplass;5.455715;60.383659
99;Stølsvegen lekeplass;5.474700;60.416878
100;Sætreparken;5.436181;60.458538
101;Sørfjordveien nord lekeplass;5.426801;60.469177
102;Sørfjordveien sør lekeplass;5.432769;60.463680
103;Tuftadalen lekeplass;5.430046;60.462387
104;Vollavegen lekeplass;5.471690;60.419159
105;Dådyrvegen lekeplass;5.342421;60.300804
106;Hop lekeplass;5.345401;60.326405
107;Kaland lekeplass;5.429038;60.267429
108;Kirkevoll lekeplass;5.346179;60.264080
109;Nordrevoll lekeplass;5.369681;60.318310
110;Norheim lekeplass;5.355599;60.265057
111;Odins veg barnepark;5.348555;60.311874
112;Paradis barnepark;5.341995;60.340145
113;Skjold lekeplass;5.331883;60.307091
114;Skjold husmor barnepark;5.333862;60.302647
115;Øvsttunheimen lekeplass;5.370630;60.311844
116;Grønnestølen barnepark;5.336376;60.355766
117;Arne Abrahamsens vei lekeplass;5.305930;60.375500
118;Damsgård lekeplass;5.301290;60.384350
119;Frydenbøveien lekeplass;5.307673;60.383156
120;Frydenbølien lekeplass;5.311756;60.382130
121;Herman Grans vei nord lekeplass;5.291902;60.386909
122;Herman Grans vei sør lekeplass;5.300410;60.382095
123;Kongsmyren lekeplass;5.208287;60.337620
124;Laksevåg lekeplass;5.301587;60.385986
125;Leitet lekeplass;5.290507;60.389332
126;Lyngbø lekeplass;5.267150;60.376823
127;Nylundsveien nærmiljøanlegg;5.310720;60.382599
128;Olderneset lekeplass;5.279569;60.392605
129;Ungdommens hus lekeplass;5.298884;60.382423
130;Fanatorget lekeplass;5.283528;60.305866
131;Breisteinvegen nord lekeplass;5.403369;60.487030
132;Breisteinvegen sør lekeplass;5.410273;60.481045
133;Eidsvågbakken lekeplass;5.316795;60.435680
134;Eidsvågskogen lekplass;5.293887;60.442219
135;Fagerdalshøgda lekeplass;5.290732;60.440098
136;Flaktveitparken;5.363892;60.462803
137;Hordvik lekeplass;5.313719;60.523258
138;Hylkje lekeplass;5.352745;60.509544
139;Lokketodalen lekeplass;5.264018;60.482059
140;Salhus lekeplass;5.268913;60.506798
141;Saudalen lekeplass;5.263320;60.478973
142;Selvik lekeplass;5.340351;60.437805
143;Storåsen lekeplass;5.332291;60.465832
144;Ulsetåsen lekeplass;5.309658;60.460835
145;Idavollen barnehage;5.346050;60.310493
146;Festergrenden lekeplass;5.324536;60.407288

